"no","id","name","password","type","class_no","register_date"
1,_ADMIN_,_ADMIN_,admin123,A,-1,2019-03-03 19:35:10
2,xin_lin,辛林,teacher123,T,-1,2019-03-03 20:03:24
3,zhang_san,张三,teacher123,T,-1,2019-03-03 20:04:08
4,li_si,李四,teacher123,T,-1,2019-03-03 20:04:25
5,wang_wu,王五,teacher123,T,-1,2019-03-03 20:35:05
6,liu_mou,刘某,teacher123,T,-1,2019-03-03 20:35:30
7,zhao_moumoumou,赵某某,teacher123,T,-1,2019-03-03 20:35:44
8,liang_chaowei,梁朝伟,teacher123,T,-1,2019-03-03 20:36:33
9,aaaaa,辛林,teacher123,T,-1,2019-03-03 20:03:24
11,dfh,dfg,teacher123,T,-1,2019-03-03 20:03:24
12,zhang_sansan,张三三,"123teacher",T,-1,2019-03-05 21:38:34
13,xin_linlin,辛林林,teacher1234,T,-1,2019-03-06 14:06:55
14,aaa,aaa,aaa,T,-1,2019-03-06 14:07:20
15,bbb,bbb,bbbbb,T,-1,2019-03-06 14:09:41
16,ggg,ggg,ggg,T,-1,2019-03-06 14:11:13
